partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
genoa,8,8,256m,2m,POSIX,foss_2023,Max Read: 54778.71 MiB/sec (57439.64 MB/sec),read
genoa,8,8,256m,2m,POSIX,foss_2023,Max Write: 2822.00 MiB/sec (2959.08 MB/sec),write
genoa,8,8,256m,4m,POSIX,foss_2023,Max Read: 53015.05 MiB/sec (55590.31 MB/sec),read
genoa,8,8,256m,4m,POSIX,foss_2023,Max Write: 4494.48 MiB/sec (4712.80 MB/sec),write
genoa,8,8,256m,8m,POSIX,foss_2023,Max Read: 53994.69 MiB/sec (56617.53 MB/sec),read
genoa,8,8,256m,8m,POSIX,foss_2023,Max Write: 3612.78 MiB/sec (3788.28 MB/sec),write
genoa,8,8,256m,16m,POSIX,foss_2023,Max Read: 42484.79 MiB/sec (44548.53 MB/sec),read
genoa,8,8,256m,16m,POSIX,foss_2023,Max Write: 5421.64 MiB/sec (5685.00 MB/sec),write
genoa,8,8,256m,256m,POSIX,foss_2023,Max Read: 32410.39 MiB/sec (33984.76 MB/sec),read
genoa,8,8,256m,256m,POSIX,foss_2023,Max Write: 2491.95 MiB/sec (2613.00 MB/sec),write
genoa,8,8,512m,2m,POSIX,foss_2023,Max Read: 28908.52 MiB/sec (30312.78 MB/sec),read
genoa,8,8,512m,2m,POSIX,foss_2023,Max Write: 3209.06 MiB/sec (3364.94 MB/sec),write
genoa,8,8,512m,4m,POSIX,foss_2023,Max Read: 13681.88 MiB/sec (14346.49 MB/sec),read
genoa,8,8,512m,4m,POSIX,foss_2023,Max Write: 3119.46 MiB/sec (3270.99 MB/sec),write
genoa,8,8,512m,8m,POSIX,foss_2023,Max Read: 21482.83 MiB/sec (22526.38 MB/sec),read
genoa,8,8,512m,8m,POSIX,foss_2023,Max Write: 5471.45 MiB/sec (5737.23 MB/sec),write
genoa,8,8,512m,16m,POSIX,foss_2023,Max Read: 20186.56 MiB/sec (21167.15 MB/sec),read
genoa,8,8,512m,16m,POSIX,foss_2023,Max Write: 4940.89 MiB/sec (5180.90 MB/sec),write
genoa,8,8,512m,256m,POSIX,foss_2023,Max Read: 19126.04 MiB/sec (20055.10 MB/sec),read
genoa,8,8,512m,256m,POSIX,foss_2023,Max Write: 4873.65 MiB/sec (5110.39 MB/sec),write
genoa,8,8,1g,2m,POSIX,foss_2023,Max Read: 8463.02 MiB/sec (8874.12 MB/sec),read
genoa,8,8,1g,2m,POSIX,foss_2023,Max Write: 4788.19 MiB/sec (5020.78 MB/sec),write
genoa,8,8,1g,4m,POSIX,foss_2023,Max Read: 10523.38 MiB/sec (11034.57 MB/sec),read
genoa,8,8,1g,4m,POSIX,foss_2023,Max Write: 4105.52 MiB/sec (4304.95 MB/sec),write
genoa,8,8,1g,8m,POSIX,foss_2023,Max Read: 15018.01 MiB/sec (15747.53 MB/sec),read
genoa,8,8,1g,8m,POSIX,foss_2023,Max Write: 6411.00 MiB/sec (6722.42 MB/sec),write
genoa,8,8,1g,16m,POSIX,foss_2023,Max Read: 9487.46 MiB/sec (9948.32 MB/sec),read
genoa,8,8,1g,16m,POSIX,foss_2023,Max Write: 4831.26 MiB/sec (5065.95 MB/sec),write
genoa,8,8,1g,256m,POSIX,foss_2023,Max Read: 5499.22 MiB/sec (5766.35 MB/sec),read
genoa,8,8,1g,256m,POSIX,foss_2023,Max Write: 3361.74 MiB/sec (3525.04 MB/sec),write
genoa,8,8,2g,2m,POSIX,foss_2023,Max Read: 6329.91 MiB/sec (6637.40 MB/sec),read
genoa,8,8,2g,2m,POSIX,foss_2023,Max Write: 3183.76 MiB/sec (3338.42 MB/sec),write
genoa,8,8,2g,4m,POSIX,foss_2023,Max Read: 4369.51 MiB/sec (4581.76 MB/sec),read
genoa,8,8,2g,4m,POSIX,foss_2023,Max Write: 2726.39 MiB/sec (2858.82 MB/sec),write
genoa,8,8,2g,8m,POSIX,foss_2023,Max Read: 5282.37 MiB/sec (5538.97 MB/sec),read
genoa,8,8,2g,8m,POSIX,foss_2023,Max Write: 4074.40 MiB/sec (4272.32 MB/sec),write
