partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
fat_rome,8,8,256m,2m,POSIX,foss_2023,Max Read: 8437.13 MiB/sec (8846.97 MB/sec),read
fat_rome,8,8,256m,2m,POSIX,foss_2023,Max Write: 3800.87 MiB/sec (3985.50 MB/sec),write
fat_rome,8,8,256m,4m,POSIX,foss_2023,Max Read: 35385.55 MiB/sec (37104.43 MB/sec),read
fat_rome,8,8,256m,4m,POSIX,foss_2023,Max Write: 3504.09 MiB/sec (3674.31 MB/sec),write
fat_rome,8,8,256m,8m,POSIX,foss_2023,Max Read: 27032.79 MiB/sec (28345.94 MB/sec),read
fat_rome,8,8,256m,8m,POSIX,foss_2023,Max Write: 4133.58 MiB/sec (4334.37 MB/sec),write
fat_rome,8,8,256m,16m,POSIX,foss_2023,Max Read: 17382.72 MiB/sec (18227.10 MB/sec),read
fat_rome,8,8,256m,16m,POSIX,foss_2023,Max Write: 4736.44 MiB/sec (4966.51 MB/sec),write
fat_rome,8,8,256m,256m,POSIX,foss_2023,Max Read: 17417.24 MiB/sec (18263.30 MB/sec),read
fat_rome,8,8,256m,256m,POSIX,foss_2023,Max Write: 5116.59 MiB/sec (5365.14 MB/sec),write
fat_rome,8,8,512m,2m,POSIX,foss_2023,Max Read: 11903.12 MiB/sec (12481.33 MB/sec),read
fat_rome,8,8,512m,2m,POSIX,foss_2023,Max Write: 3519.16 MiB/sec (3690.11 MB/sec),write
fat_rome,8,8,512m,4m,POSIX,foss_2023,Max Read: 11091.28 MiB/sec (11630.05 MB/sec),read
fat_rome,8,8,512m,4m,POSIX,foss_2023,Max Write: 4317.39 MiB/sec (4527.11 MB/sec),write
fat_rome,8,8,512m,8m,POSIX,foss_2023,Max Read: 12622.23 MiB/sec (13235.37 MB/sec),read
fat_rome,8,8,512m,8m,POSIX,foss_2023,Max Write: 3248.99 MiB/sec (3406.82 MB/sec),write
fat_rome,8,8,512m,16m,POSIX,foss_2023,Max Read: 11018.25 MiB/sec (11553.48 MB/sec),read
fat_rome,8,8,512m,16m,POSIX,foss_2023,Max Write: 4701.18 MiB/sec (4929.54 MB/sec),write
fat_rome,8,8,512m,256m,POSIX,foss_2023,Max Read: 15603.61 MiB/sec (16361.57 MB/sec),read
fat_rome,8,8,512m,256m,POSIX,foss_2023,Max Write: 3658.87 MiB/sec (3836.60 MB/sec),write
fat_rome,8,8,1g,2m,POSIX,foss_2023,Max Read: 8313.73 MiB/sec (8717.58 MB/sec),read
fat_rome,8,8,1g,2m,POSIX,foss_2023,Max Write: 3762.49 MiB/sec (3945.26 MB/sec),write
fat_rome,8,8,1g,4m,POSIX,foss_2023,Max Read: 8188.34 MiB/sec (8586.10 MB/sec),read
