partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
gpu_h100,8,8,256m,2m,POSIX,foss_2023,Max Read: 25160.57 MiB/sec (26382.77 MB/sec),read
gpu_h100,8,8,256m,2m,POSIX,foss_2023,Max Write: 4382.07 MiB/sec (4594.93 MB/sec),write
gpu_h100,8,8,256m,4m,POSIX,foss_2023,Max Read: 79640.77 MiB/sec (83509.40 MB/sec),read
gpu_h100,8,8,256m,4m,POSIX,foss_2023,Max Write: 5576.29 MiB/sec (5847.16 MB/sec),write
gpu_h100,8,8,256m,8m,POSIX,foss_2023,Max Read: 52221.81 MiB/sec (54758.54 MB/sec),read
gpu_h100,8,8,256m,8m,POSIX,foss_2023,Max Write: 5204.63 MiB/sec (5457.45 MB/sec),write
gpu_h100,8,8,256m,16m,POSIX,foss_2023,Max Read: 70122.93 MiB/sec (73529.22 MB/sec),read
gpu_h100,8,8,256m,16m,POSIX,foss_2023,Max Write: 3464.60 MiB/sec (3632.90 MB/sec),write
gpu_h100,8,8,256m,256m,POSIX,foss_2023,Max Read: 59107.48 MiB/sec (61978.68 MB/sec),read
gpu_h100,8,8,256m,256m,POSIX,foss_2023,Max Write: 2660.41 MiB/sec (2789.64 MB/sec),write
gpu_h100,8,8,512m,2m,POSIX,foss_2023,Max Read: 29492.81 MiB/sec (30925.46 MB/sec),read
gpu_h100,8,8,512m,2m,POSIX,foss_2023,Max Write: 5656.50 MiB/sec (5931.27 MB/sec),write
gpu_h100,8,8,512m,4m,POSIX,foss_2023,Max Read: 22933.05 MiB/sec (24047.05 MB/sec),read
gpu_h100,8,8,512m,4m,POSIX,foss_2023,Max Write: 6250.80 MiB/sec (6554.44 MB/sec),write
gpu_h100,8,8,512m,8m,POSIX,foss_2023,Max Read: 28143.60 MiB/sec (29510.70 MB/sec),read
gpu_h100,8,8,512m,8m,POSIX,foss_2023,Max Write: 6176.97 MiB/sec (6477.03 MB/sec),write
gpu_h100,8,8,512m,16m,POSIX,foss_2023,Max Read: 41139.05 MiB/sec (43137.43 MB/sec),read
gpu_h100,8,8,512m,16m,POSIX,foss_2023,Max Write: 5650.55 MiB/sec (5925.03 MB/sec),write
gpu_h100,8,8,512m,256m,POSIX,foss_2023,Max Read: 48908.92 MiB/sec (51284.72 MB/sec),read
gpu_h100,8,8,512m,256m,POSIX,foss_2023,Max Write: 8294.66 MiB/sec (8697.58 MB/sec),write
gpu_h100,8,8,1g,2m,POSIX,foss_2023,Max Read: 24898.67 MiB/sec (26108.15 MB/sec),read
gpu_h100,8,8,1g,2m,POSIX,foss_2023,Max Write: 4874.63 MiB/sec (5111.42 MB/sec),write
gpu_h100,8,8,1g,4m,POSIX,foss_2023,Max Read: 35406.94 MiB/sec (37126.87 MB/sec),read
gpu_h100,8,8,1g,4m,POSIX,foss_2023,Max Write: 7545.65 MiB/sec (7912.19 MB/sec),write
gpu_h100,8,8,1g,8m,POSIX,foss_2023,Max Read: 23161.80 MiB/sec (24286.91 MB/sec),read
gpu_h100,8,8,1g,8m,POSIX,foss_2023,Max Write: 8954.00 MiB/sec (9388.95 MB/sec),write
gpu_h100,8,8,1g,16m,POSIX,foss_2023,Max Read: 20395.09 MiB/sec (21385.80 MB/sec),read
gpu_h100,8,8,1g,16m,POSIX,foss_2023,Max Write: 6975.50 MiB/sec (7314.35 MB/sec),write
gpu_h100,8,8,1g,256m,POSIX,foss_2023,Max Read: 14225.24 MiB/sec (14916.25 MB/sec),read
gpu_h100,8,8,1g,256m,POSIX,foss_2023,Max Write: 2835.76 MiB/sec (2973.51 MB/sec),write
gpu_h100,8,8,2g,2m,POSIX,foss_2023,Max Read: 10136.08 MiB/sec (10628.45 MB/sec),read
