partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
rome,8,8,256m,2m,POSIX,foss_2023,Max Read: 34564.65 MiB/sec (36243.66 MB/sec),read
rome,8,8,256m,2m,POSIX,foss_2023,Max Write: 1532.59 MiB/sec (1607.04 MB/sec),write
rome,8,8,256m,4m,POSIX,foss_2023,Max Read: 34709.80 MiB/sec (36395.86 MB/sec),read
rome,8,8,256m,4m,POSIX,foss_2023,Max Write: 1087.42 MiB/sec (1140.25 MB/sec),write
rome,8,8,256m,8m,POSIX,foss_2023,Max Read: 31140.49 MiB/sec (32653.17 MB/sec),read
rome,8,8,256m,8m,POSIX,foss_2023,Max Write: 1091.74 MiB/sec (1144.77 MB/sec),write
rome,8,8,256m,16m,POSIX,foss_2023,Max Read: 16882.50 MiB/sec (17702.58 MB/sec),read
rome,8,8,256m,16m,POSIX,foss_2023,Max Write: 1477.04 MiB/sec (1548.79 MB/sec),write
rome,8,8,256m,256m,POSIX,foss_2023,Max Read: 17014.28 MiB/sec (17840.76 MB/sec),read
rome,8,8,256m,256m,POSIX,foss_2023,Max Write: 2312.84 MiB/sec (2425.19 MB/sec),write
rome,8,8,512m,2m,POSIX,foss_2023,Max Read: 2648.73 MiB/sec (2777.40 MB/sec),read
rome,8,8,512m,2m,POSIX,foss_2023,Max Write: 3487.91 MiB/sec (3657.34 MB/sec),write
rome,8,8,512m,4m,POSIX,foss_2023,Max Read: 3178.65 MiB/sec (3333.06 MB/sec),read
rome,8,8,512m,4m,POSIX,foss_2023,Max Write: 1522.83 MiB/sec (1596.81 MB/sec),write
rome,8,8,512m,8m,POSIX,foss_2023,Max Read: 3051.95 MiB/sec (3200.20 MB/sec),read
rome,8,8,512m,8m,POSIX,foss_2023,Max Write: 4331.65 MiB/sec (4542.06 MB/sec),write
rome,8,8,512m,16m,POSIX,foss_2023,Max Read: 3047.83 MiB/sec (3195.88 MB/sec),read
rome,8,8,512m,16m,POSIX,foss_2023,Max Write: 2786.47 MiB/sec (2921.82 MB/sec),write
rome,8,8,512m,256m,POSIX,foss_2023,Max Read: 4922.35 MiB/sec (5161.46 MB/sec),read
rome,8,8,512m,256m,POSIX,foss_2023,Max Write: 1556.85 MiB/sec (1632.47 MB/sec),write
rome,8,8,1g,2m,POSIX,foss_2023,Max Read: 2675.61 MiB/sec (2805.58 MB/sec),read
rome,8,8,1g,2m,POSIX,foss_2023,Max Write: 2936.82 MiB/sec (3079.48 MB/sec),write
