partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
genoa,8,8,256m,2m,POSIX,foss_2023,Max Read: 15518.98 MiB/sec (16272.83 MB/sec),read
genoa,8,8,256m,2m,POSIX,foss_2023,Max Write: 4384.32 MiB/sec (4597.29 MB/sec),write
genoa,8,8,256m,4m,POSIX,foss_2023,Max Read: 52436.20 MiB/sec (54983.35 MB/sec),read
genoa,8,8,256m,4m,POSIX,foss_2023,Max Write: 4923.89 MiB/sec (5163.07 MB/sec),write
genoa,8,8,256m,8m,POSIX,foss_2023,Max Read: 50096.83 MiB/sec (52530.33 MB/sec),read
genoa,8,8,256m,8m,POSIX,foss_2023,Max Write: 5069.18 MiB/sec (5315.42 MB/sec),write
genoa,8,8,256m,16m,POSIX,foss_2023,Max Read: 41917.43 MiB/sec (43953.61 MB/sec),read
genoa,8,8,256m,16m,POSIX,foss_2023,Max Write: 2727.23 MiB/sec (2859.71 MB/sec),write
genoa,8,8,256m,256m,POSIX,foss_2023,Max Read: 32099.00 MiB/sec (33658.25 MB/sec),read
genoa,8,8,256m,256m,POSIX,foss_2023,Max Write: 3450.87 MiB/sec (3618.50 MB/sec),write
genoa,8,8,512m,2m,POSIX,foss_2023,Max Read: 24570.29 MiB/sec (25763.81 MB/sec),read
genoa,8,8,512m,2m,POSIX,foss_2023,Max Write: 4406.27 MiB/sec (4620.30 MB/sec),write
genoa,8,8,512m,4m,POSIX,foss_2023,Max Read: 22242.64 MiB/sec (23323.10 MB/sec),read
genoa,8,8,512m,4m,POSIX,foss_2023,Max Write: 6130.56 MiB/sec (6428.36 MB/sec),write
genoa,8,8,512m,8m,POSIX,foss_2023,Max Read: 28706.87 MiB/sec (30101.33 MB/sec),read
genoa,8,8,512m,8m,POSIX,foss_2023,Max Write: 6118.97 MiB/sec (6416.20 MB/sec),write
genoa,8,8,512m,16m,POSIX,foss_2023,Max Read: 29908.19 MiB/sec (31361.01 MB/sec),read
genoa,8,8,512m,16m,POSIX,foss_2023,Max Write: 5851.38 MiB/sec (6135.62 MB/sec),write
genoa,8,8,512m,256m,POSIX,foss_2023,Max Read: 26566.19 MiB/sec (27856.67 MB/sec),read
genoa,8,8,512m,256m,POSIX,foss_2023,Max Write: 3402.13 MiB/sec (3567.39 MB/sec),write
genoa,8,8,1g,2m,POSIX,foss_2023,Max Read: 13221.73 MiB/sec (13863.99 MB/sec),read
genoa,8,8,1g,2m,POSIX,foss_2023,Max Write: 6064.90 MiB/sec (6359.51 MB/sec),write
genoa,8,8,1g,4m,POSIX,foss_2023,Max Read: 11151.80 MiB/sec (11693.51 MB/sec),read
genoa,8,8,1g,4m,POSIX,foss_2023,Max Write: 2983.03 MiB/sec (3127.93 MB/sec),write
genoa,8,8,1g,8m,POSIX,foss_2023,Max Read: 7784.99 MiB/sec (8163.15 MB/sec),read
genoa,8,8,1g,8m,POSIX,foss_2023,Max Write: 3645.14 MiB/sec (3822.21 MB/sec),write
genoa,8,8,1g,16m,POSIX,foss_2023,Max Read: 9478.17 MiB/sec (9938.58 MB/sec),read
genoa,8,8,1g,16m,POSIX,foss_2023,Max Write: 3969.57 MiB/sec (4162.39 MB/sec),write
genoa,8,8,1g,256m,POSIX,foss_2023,Max Read: 6594.17 MiB/sec (6914.49 MB/sec),read
genoa,8,8,1g,256m,POSIX,foss_2023,Max Write: 3670.07 MiB/sec (3848.34 MB/sec),write
genoa,8,8,2g,2m,POSIX,foss_2023,Max Read: 5787.33 MiB/sec (6068.46 MB/sec),read
genoa,8,8,2g,2m,POSIX,foss_2023,Max Write: 4231.19 MiB/sec (4436.73 MB/sec),write
genoa,8,8,2g,4m,POSIX,foss_2023,Max Read: 6195.18 MiB/sec (6496.12 MB/sec),read
genoa,8,8,2g,4m,POSIX,foss_2023,Max Write: 6067.36 MiB/sec (6362.09 MB/sec),write
genoa,8,8,2g,8m,POSIX,foss_2023,Max Read: 4955.43 MiB/sec (5196.15 MB/sec),read
genoa,8,8,2g,8m,POSIX,foss_2023,Max Write: 4339.67 MiB/sec (4550.47 MB/sec),write
genoa,8,8,2g,16m,POSIX,foss_2023,Max Read: 4810.48 MiB/sec (5044.15 MB/sec),read
genoa,8,8,2g,16m,POSIX,foss_2023,Max Write: 5687.30 MiB/sec (5963.57 MB/sec),write
genoa,8,8,2g,256m,POSIX,foss_2023,Max Read: 6271.19 MiB/sec (6575.82 MB/sec),read
genoa,8,8,2g,256m,POSIX,foss_2023,Max Write: 4349.13 MiB/sec (4560.39 MB/sec),write
genoa,8,8,4g,2m,POSIX,foss_2023,Max Read: 4968.96 MiB/sec (5210.33 MB/sec),read
genoa,8,8,4g,2m,POSIX,foss_2023,Max Write: 5085.90 MiB/sec (5332.96 MB/sec),write
genoa,8,8,4g,4m,POSIX,foss_2023,Max Read: 4214.21 MiB/sec (4418.92 MB/sec),read
genoa,8,8,4g,4m,POSIX,foss_2023,Max Write: 4747.83 MiB/sec (4978.46 MB/sec),write
genoa,8,8,4g,8m,POSIX,foss_2023,Max Read: 4146.14 MiB/sec (4347.55 MB/sec),read
genoa,8,8,4g,8m,POSIX,foss_2023,Max Write: 4244.29 MiB/sec (4450.46 MB/sec),write
genoa,8,8,4g,16m,POSIX,foss_2023,Max Read: 4673.82 MiB/sec (4900.85 MB/sec),read
genoa,8,8,4g,16m,POSIX,foss_2023,Max Write: 4080.16 MiB/sec (4278.35 MB/sec),write
genoa,8,8,4g,256m,POSIX,foss_2023,Max Read: 5014.81 MiB/sec (5258.41 MB/sec),read
genoa,8,8,4g,256m,POSIX,foss_2023,Max Write: 3580.98 MiB/sec (3754.93 MB/sec),write
genoa,8,8,8g,2m,POSIX,foss_2023,Max Read: 4897.91 MiB/sec (5135.83 MB/sec),read
