partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
genoa,8,8,256m,2m,POSIX,foss_2023,Max Read: 9995.81 MiB/sec (10481.37 MB/sec),read
genoa,8,8,256m,2m,POSIX,foss_2023,Max Write: 2021.13 MiB/sec (2119.31 MB/sec),write
genoa,8,8,256m,4m,POSIX,foss_2023,Max Read: 53478.41 MiB/sec (56076.17 MB/sec),read
genoa,8,8,256m,4m,POSIX,foss_2023,Max Write: 2189.73 MiB/sec (2296.10 MB/sec),write
genoa,8,8,256m,8m,POSIX,foss_2023,Max Read: 51769.97 MiB/sec (54284.75 MB/sec),read
genoa,8,8,256m,8m,POSIX,foss_2023,Max Write: 3049.99 MiB/sec (3198.15 MB/sec),write
genoa,8,8,256m,16m,POSIX,foss_2023,Max Read: 43444.13 MiB/sec (45554.47 MB/sec),read
genoa,8,8,256m,16m,POSIX,foss_2023,Max Write: 2800.05 MiB/sec (2936.06 MB/sec),write
genoa,8,8,256m,256m,POSIX,foss_2023,Max Read: 31831.23 MiB/sec (33377.47 MB/sec),read
genoa,8,8,256m,256m,POSIX,foss_2023,Max Write: 1877.20 MiB/sec (1968.38 MB/sec),write
genoa,8,8,512m,2m,POSIX,foss_2023,Max Read: 15363.59 MiB/sec (16109.89 MB/sec),read
genoa,8,8,512m,2m,POSIX,foss_2023,Max Write: 5518.74 MiB/sec (5786.82 MB/sec),write
genoa,8,8,512m,4m,POSIX,foss_2023,Max Read: 10622.85 MiB/sec (11138.87 MB/sec),read
genoa,8,8,512m,4m,POSIX,foss_2023,Max Write: 3616.08 MiB/sec (3791.74 MB/sec),write
genoa,8,8,512m,8m,POSIX,foss_2023,Max Read: 6670.26 MiB/sec (6994.28 MB/sec),read
genoa,8,8,512m,8m,POSIX,foss_2023,Max Write: 3654.41 MiB/sec (3831.92 MB/sec),write
genoa,8,8,512m,16m,POSIX,foss_2023,Max Read: 5919.88 MiB/sec (6207.44 MB/sec),read
genoa,8,8,512m,16m,POSIX,foss_2023,Max Write: 2891.37 MiB/sec (3031.82 MB/sec),write
genoa,8,8,512m,256m,POSIX,foss_2023,Max Read: 17581.14 MiB/sec (18435.16 MB/sec),read
genoa,8,8,512m,256m,POSIX,foss_2023,Max Write: 5362.17 MiB/sec (5622.64 MB/sec),write
genoa,8,8,1g,2m,POSIX,foss_2023,Max Read: 10468.73 MiB/sec (10977.26 MB/sec),read
genoa,8,8,1g,2m,POSIX,foss_2023,Max Write: 4210.40 MiB/sec (4414.93 MB/sec),write
genoa,8,8,1g,4m,POSIX,foss_2023,Max Read: 6574.86 MiB/sec (6894.24 MB/sec),read
genoa,8,8,1g,4m,POSIX,foss_2023,Max Write: 4185.28 MiB/sec (4388.59 MB/sec),write
genoa,8,8,1g,8m,POSIX,foss_2023,Max Read: 5138.52 MiB/sec (5388.13 MB/sec),read
genoa,8,8,1g,8m,POSIX,foss_2023,Max Write: 4033.56 MiB/sec (4229.49 MB/sec),write
genoa,8,8,1g,16m,POSIX,foss_2023,Max Read: 9629.83 MiB/sec (10097.61 MB/sec),read
genoa,8,8,1g,16m,POSIX,foss_2023,Max Write: 3784.27 MiB/sec (3968.09 MB/sec),write
genoa,8,8,1g,256m,POSIX,foss_2023,Max Read: 11998.20 MiB/sec (12581.02 MB/sec),read
genoa,8,8,1g,256m,POSIX,foss_2023,Max Write: 5347.05 MiB/sec (5606.79 MB/sec),write
genoa,8,8,2g,2m,POSIX,foss_2023,Max Read: 4217.13 MiB/sec (4421.98 MB/sec),read
genoa,8,8,2g,2m,POSIX,foss_2023,Max Write: 3208.30 MiB/sec (3364.14 MB/sec),write
genoa,8,8,2g,4m,POSIX,foss_2023,Max Read: 4592.90 MiB/sec (4816.00 MB/sec),read
genoa,8,8,2g,4m,POSIX,foss_2023,Max Write: 7122.94 MiB/sec (7468.94 MB/sec),write
genoa,8,8,2g,8m,POSIX,foss_2023,Max Read: 5066.28 MiB/sec (5312.38 MB/sec),read
genoa,8,8,2g,8m,POSIX,foss_2023,Max Write: 5054.69 MiB/sec (5300.22 MB/sec),write
genoa,8,8,2g,16m,POSIX,foss_2023,Max Read: 5481.38 MiB/sec (5747.65 MB/sec),read
genoa,8,8,2g,16m,POSIX,foss_2023,Max Write: 2255.25 MiB/sec (2364.81 MB/sec),write
genoa,8,8,2g,256m,POSIX,foss_2023,Max Read: 4798.62 MiB/sec (5031.71 MB/sec),read
genoa,8,8,2g,256m,POSIX,foss_2023,Max Write: 5921.09 MiB/sec (6208.71 MB/sec),write
genoa,8,8,4g,2m,POSIX,foss_2023,Max Read: 2952.48 MiB/sec (3095.90 MB/sec),read
genoa,8,8,4g,2m,POSIX,foss_2023,Max Write: 2851.97 MiB/sec (2990.51 MB/sec),write
genoa,8,8,4g,4m,POSIX,foss_2023,Max Read: 5337.17 MiB/sec (5596.42 MB/sec),read
genoa,8,8,4g,4m,POSIX,foss_2023,Max Write: 8298.91 MiB/sec (8702.03 MB/sec),write
genoa,8,8,4g,8m,POSIX,foss_2023,Max Read: 3106.09 MiB/sec (3256.97 MB/sec),read
genoa,8,8,4g,8m,POSIX,foss_2023,Max Write: 4403.00 MiB/sec (4616.88 MB/sec),write
genoa,8,8,4g,16m,POSIX,foss_2023,Max Read: 3252.78 MiB/sec (3410.79 MB/sec),read
genoa,8,8,4g,16m,POSIX,foss_2023,Max Write: 4064.81 MiB/sec (4262.26 MB/sec),write
genoa,8,8,4g,256m,POSIX,foss_2023,Max Read: 4413.99 MiB/sec (4628.41 MB/sec),read
genoa,8,8,4g,256m,POSIX,foss_2023,Max Write: 3416.66 MiB/sec (3582.62 MB/sec),write
genoa,8,8,8g,2m,POSIX,foss_2023,Max Read: 3598.41 MiB/sec (3773.21 MB/sec),read
genoa,8,8,8g,2m,POSIX,foss_2023,Max Write: 4089.46 MiB/sec (4288.11 MB/sec),write
genoa,8,8,8g,4m,POSIX,foss_2023,Max Read: 4979.91 MiB/sec (5221.81 MB/sec),read
genoa,8,8,8g,4m,POSIX,foss_2023,Max Write: 4416.90 MiB/sec (4631.45 MB/sec),write
genoa,8,8,8g,8m,POSIX,foss_2023,Max Read: 3405.34 MiB/sec (3570.76 MB/sec),read
genoa,8,8,8g,8m,POSIX,foss_2023,Max Write: 3608.63 MiB/sec (3783.92 MB/sec),write
genoa,8,8,8g,16m,POSIX,foss_2023,Max Read: 3155.52 MiB/sec (3308.80 MB/sec),read
genoa,8,8,8g,16m,POSIX,foss_2023,Max Write: 2959.67 MiB/sec (3103.44 MB/sec),write
genoa,8,8,8g,256m,POSIX,foss_2023,Max Read: 3282.72 MiB/sec (3442.18 MB/sec),read
genoa,8,8,8g,256m,POSIX,foss_2023,Max Write: 3630.91 MiB/sec (3807.28 MB/sec),write
genoa,8,8,16g,2m,POSIX,foss_2023,Max Read: 4387.58 MiB/sec (4600.71 MB/sec),read
genoa,8,8,16g,2m,POSIX,foss_2023,Max Write: 2805.51 MiB/sec (2941.79 MB/sec),write
genoa,8,8,16g,4m,POSIX,foss_2023,Max Read: 5432.94 MiB/sec (5696.85 MB/sec),read
genoa,8,8,16g,4m,POSIX,foss_2023,Max Write: 4729.26 MiB/sec (4958.98 MB/sec),write
genoa,8,8,16g,8m,POSIX,foss_2023,Max Read: 3405.44 MiB/sec (3570.87 MB/sec),read
genoa,8,8,16g,8m,POSIX,foss_2023,Max Write: 3007.34 MiB/sec (3153.43 MB/sec),write
genoa,8,8,16g,16m,POSIX,foss_2023,Max Read: 5521.17 MiB/sec (5789.36 MB/sec),read
genoa,8,8,16g,16m,POSIX,foss_2023,Max Write: 3717.61 MiB/sec (3898.19 MB/sec),write
genoa,8,8,16g,256m,POSIX,foss_2023,Max Read: 8079.19 MiB/sec (8471.64 MB/sec),read
genoa,8,8,16g,256m,POSIX,foss_2023,Max Write: 5816.38 MiB/sec (6098.91 MB/sec),write
