partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
gpu_a100,8,8,256m,2m,POSIX,foss_2023,Max Read: 20384.75 MiB/sec (21374.96 MB/sec),read
gpu_a100,8,8,256m,2m,POSIX,foss_2023,Max Write: 4998.05 MiB/sec (5240.83 MB/sec),write
gpu_a100,8,8,256m,4m,POSIX,foss_2023,Max Read: 45375.85 MiB/sec (47580.02 MB/sec),read
gpu_a100,8,8,256m,4m,POSIX,foss_2023,Max Write: 4711.12 MiB/sec (4939.97 MB/sec),write
gpu_a100,8,8,256m,8m,POSIX,foss_2023,Max Read: 43471.88 MiB/sec (45583.57 MB/sec),read
gpu_a100,8,8,256m,8m,POSIX,foss_2023,Max Write: 3099.77 MiB/sec (3250.34 MB/sec),write
gpu_a100,8,8,256m,16m,POSIX,foss_2023,Max Read: 36459.56 MiB/sec (38230.62 MB/sec),read
gpu_a100,8,8,256m,16m,POSIX,foss_2023,Max Write: 3363.26 MiB/sec (3526.63 MB/sec),write
gpu_a100,8,8,256m,256m,POSIX,foss_2023,Max Read: 33612.99 MiB/sec (35245.78 MB/sec),read
gpu_a100,8,8,256m,256m,POSIX,foss_2023,Max Write: 2656.60 MiB/sec (2785.65 MB/sec),write
gpu_a100,8,8,512m,2m,POSIX,foss_2023,Max Read: 22914.19 MiB/sec (24027.27 MB/sec),read
gpu_a100,8,8,512m,2m,POSIX,foss_2023,Max Write: 5254.98 MiB/sec (5510.25 MB/sec),write
gpu_a100,8,8,512m,4m,POSIX,foss_2023,Max Read: 20146.50 MiB/sec (21125.14 MB/sec),read
gpu_a100,8,8,512m,4m,POSIX,foss_2023,Max Write: 4476.98 MiB/sec (4694.46 MB/sec),write
gpu_a100,8,8,512m,8m,POSIX,foss_2023,Max Read: 22206.80 MiB/sec (23285.52 MB/sec),read
gpu_a100,8,8,512m,8m,POSIX,foss_2023,Max Write: 3269.07 MiB/sec (3427.87 MB/sec),write
gpu_a100,8,8,512m,16m,POSIX,foss_2023,Max Read: 17474.02 MiB/sec (18322.84 MB/sec),read
gpu_a100,8,8,512m,16m,POSIX,foss_2023,Max Write: 3325.19 MiB/sec (3486.71 MB/sec),write
gpu_a100,8,8,512m,256m,POSIX,foss_2023,Max Read: 23580.55 MiB/sec (24726.00 MB/sec),read
gpu_a100,8,8,512m,256m,POSIX,foss_2023,Max Write: 5868.33 MiB/sec (6153.39 MB/sec),write
gpu_a100,8,8,1g,2m,POSIX,foss_2023,Max Read: 10888.39 MiB/sec (11417.31 MB/sec),read
gpu_a100,8,8,1g,2m,POSIX,foss_2023,Max Write: 5234.76 MiB/sec (5489.04 MB/sec),write
gpu_a100,8,8,1g,4m,POSIX,foss_2023,Max Read: 9446.50 MiB/sec (9905.37 MB/sec),read
gpu_a100,8,8,1g,4m,POSIX,foss_2023,Max Write: 5465.17 MiB/sec (5730.65 MB/sec),write
gpu_a100,8,8,1g,8m,POSIX,foss_2023,Max Read: 11391.85 MiB/sec (11945.22 MB/sec),read
gpu_a100,8,8,1g,8m,POSIX,foss_2023,Max Write: 4093.60 MiB/sec (4292.45 MB/sec),write
gpu_a100,8,8,1g,16m,POSIX,foss_2023,Max Read: 8381.54 MiB/sec (8788.68 MB/sec),read
gpu_a100,8,8,1g,16m,POSIX,foss_2023,Max Write: 8425.71 MiB/sec (8835.00 MB/sec),write
gpu_a100,8,8,1g,256m,POSIX,foss_2023,Max Read: 7584.22 MiB/sec (7952.63 MB/sec),read
gpu_a100,8,8,1g,256m,POSIX,foss_2023,Max Write: 3425.89 MiB/sec (3592.31 MB/sec),write
gpu_a100,8,8,2g,2m,POSIX,foss_2023,Max Read: 6478.91 MiB/sec (6793.63 MB/sec),read
gpu_a100,8,8,2g,2m,POSIX,foss_2023,Max Write: 4519.02 MiB/sec (4738.54 MB/sec),write
gpu_a100,8,8,2g,4m,POSIX,foss_2023,Max Read: 4355.94 MiB/sec (4567.53 MB/sec),read
gpu_a100,8,8,2g,4m,POSIX,foss_2023,Max Write: 4601.33 MiB/sec (4824.84 MB/sec),write
gpu_a100,8,8,2g,8m,POSIX,foss_2023,Max Read: 6083.33 MiB/sec (6378.83 MB/sec),read
gpu_a100,8,8,2g,8m,POSIX,foss_2023,Max Write: 2872.81 MiB/sec (3012.36 MB/sec),write
gpu_a100,8,8,2g,16m,POSIX,foss_2023,Max Read: 7640.99 MiB/sec (8012.16 MB/sec),read
gpu_a100,8,8,2g,16m,POSIX,foss_2023,Max Write: 6645.64 MiB/sec (6968.46 MB/sec),write
gpu_a100,8,8,2g,256m,POSIX,foss_2023,Max Read: 7120.61 MiB/sec (7466.50 MB/sec),read
gpu_a100,8,8,2g,256m,POSIX,foss_2023,Max Write: 4057.58 MiB/sec (4254.68 MB/sec),write
gpu_a100,8,8,4g,2m,POSIX,foss_2023,Max Read: 4401.40 MiB/sec (4615.20 MB/sec),read
gpu_a100,8,8,4g,2m,POSIX,foss_2023,Max Write: 4106.52 MiB/sec (4306.00 MB/sec),write
gpu_a100,8,8,4g,4m,POSIX,foss_2023,Max Read: 7201.32 MiB/sec (7551.14 MB/sec),read
gpu_a100,8,8,4g,4m,POSIX,foss_2023,Max Write: 4384.21 MiB/sec (4597.18 MB/sec),write
gpu_a100,8,8,4g,8m,POSIX,foss_2023,Max Read: 4573.08 MiB/sec (4795.22 MB/sec),read
gpu_a100,8,8,4g,8m,POSIX,foss_2023,Max Write: 2728.94 MiB/sec (2861.50 MB/sec),write
gpu_a100,8,8,4g,16m,POSIX,foss_2023,Max Read: 7572.43 MiB/sec (7940.27 MB/sec),read
gpu_a100,8,8,4g,16m,POSIX,foss_2023,Max Write: 5969.93 MiB/sec (6259.92 MB/sec),write
gpu_a100,8,8,4g,256m,POSIX,foss_2023,Max Read: 5237.94 MiB/sec (5492.38 MB/sec),read
gpu_a100,8,8,4g,256m,POSIX,foss_2023,Max Write: 3425.52 MiB/sec (3591.92 MB/sec),write
gpu_a100,8,8,8g,2m,POSIX,foss_2023,Max Read: 7734.09 MiB/sec (8109.78 MB/sec),read
gpu_a100,8,8,8g,2m,POSIX,foss_2023,Max Write: 3272.72 MiB/sec (3431.70 MB/sec),write
gpu_a100,8,8,8g,4m,POSIX,foss_2023,Max Read: 5776.16 MiB/sec (6056.74 MB/sec),read
gpu_a100,8,8,8g,4m,POSIX,foss_2023,Max Write: 4438.89 MiB/sec (4654.51 MB/sec),write
gpu_a100,8,8,8g,8m,POSIX,foss_2023,Max Read: 4438.07 MiB/sec (4653.66 MB/sec),read
gpu_a100,8,8,8g,8m,POSIX,foss_2023,Max Write: 4357.27 MiB/sec (4568.93 MB/sec),write
gpu_a100,8,8,8g,16m,POSIX,foss_2023,Max Read: 5491.79 MiB/sec (5758.56 MB/sec),read
gpu_a100,8,8,8g,16m,POSIX,foss_2023,Max Write: 4571.75 MiB/sec (4793.83 MB/sec),write
