partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
rome,8,8,256m,256m,POSIX,foss_2023,Max Read: 16923.23 MiB/sec (17745.29 MB/sec),read
rome,8,8,256m,256m,POSIX,foss_2023,Max Write: 5608.06 MiB/sec (5880.48 MB/sec),write
rome,8,8,512m,256m,POSIX,foss_2023,Max Read: 14033.28 MiB/sec (14714.96 MB/sec),read
rome,8,8,512m,256m,POSIX,foss_2023,Max Write: 5914.94 MiB/sec (6202.27 MB/sec),write
rome,8,8,1g,256m,POSIX,foss_2023,Max Read: 12150.02 MiB/sec (12740.22 MB/sec),read
rome,8,8,1g,256m,POSIX,foss_2023,Max Write: 6721.35 MiB/sec (7047.84 MB/sec),write
rome,8,8,2g,256m,POSIX,foss_2023,Max Read: 10636.03 MiB/sec (11152.69 MB/sec),read
rome,8,8,2g,256m,POSIX,foss_2023,Max Write: 7053.46 MiB/sec (7396.09 MB/sec),write
rome,8,8,4g,256m,POSIX,foss_2023,Max Read: 9541.44 MiB/sec (10004.93 MB/sec),read
rome,8,8,4g,256m,POSIX,foss_2023,Max Write: 5917.27 MiB/sec (6204.71 MB/sec),write
rome,8,8,8g,256m,POSIX,foss_2023,Max Read: 7330.33 MiB/sec (7686.40 MB/sec),read
rome,8,8,8g,256m,POSIX,foss_2023,Max Write: 6908.35 MiB/sec (7243.93 MB/sec),write
rome,8,8,16g,256m,POSIX,foss_2023,Max Read: 4896.40 MiB/sec (5134.25 MB/sec),read
rome,8,8,16g,256m,POSIX,foss_2023,Max Write: 4990.25 MiB/sec (5232.66 MB/sec),write
