partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
gpu_h100,8,8,256m,2m,POSIX,foss_2023,Max Read: 18287.77 MiB/sec (19176.12 MB/sec),read
gpu_h100,8,8,256m,2m,POSIX,foss_2023,Max Write: 3541.00 MiB/sec (3713.01 MB/sec),write
gpu_h100,8,8,256m,4m,POSIX,foss_2023,Max Read: 80863.95 MiB/sec (84791.99 MB/sec),read
gpu_h100,8,8,256m,4m,POSIX,foss_2023,Max Write: 4744.08 MiB/sec (4974.53 MB/sec),write
gpu_h100,8,8,256m,8m,POSIX,foss_2023,Max Read: 78466.66 MiB/sec (82278.26 MB/sec),read
gpu_h100,8,8,256m,8m,POSIX,foss_2023,Max Write: 2448.73 MiB/sec (2567.68 MB/sec),write
gpu_h100,8,8,256m,16m,POSIX,foss_2023,Max Read: 71698.86 MiB/sec (75181.70 MB/sec),read
gpu_h100,8,8,256m,16m,POSIX,foss_2023,Max Write: 2709.62 MiB/sec (2841.24 MB/sec),write
gpu_h100,8,8,256m,256m,POSIX,foss_2023,Max Read: 53213.56 MiB/sec (55798.46 MB/sec),read
gpu_h100,8,8,256m,256m,POSIX,foss_2023,Max Write: 3420.19 MiB/sec (3586.33 MB/sec),write
gpu_h100,8,8,512m,2m,POSIX,foss_2023,Max Read: 29409.47 MiB/sec (30838.06 MB/sec),read
gpu_h100,8,8,512m,2m,POSIX,foss_2023,Max Write: 5274.33 MiB/sec (5530.54 MB/sec),write
gpu_h100,8,8,512m,4m,POSIX,foss_2023,Max Read: 33556.11 MiB/sec (35186.14 MB/sec),read
gpu_h100,8,8,512m,4m,POSIX,foss_2023,Max Write: 6120.08 MiB/sec (6417.37 MB/sec),write
gpu_h100,8,8,512m,8m,POSIX,foss_2023,Max Read: 36924.44 MiB/sec (38718.09 MB/sec),read
gpu_h100,8,8,512m,8m,POSIX,foss_2023,Max Write: 3340.02 MiB/sec (3502.27 MB/sec),write
gpu_h100,8,8,512m,16m,POSIX,foss_2023,Max Read: 16686.04 MiB/sec (17496.58 MB/sec),read
gpu_h100,8,8,512m,16m,POSIX,foss_2023,Max Write: 4930.06 MiB/sec (5169.54 MB/sec),write
gpu_h100,8,8,512m,256m,POSIX,foss_2023,Max Read: 48734.50 MiB/sec (51101.82 MB/sec),read
gpu_h100,8,8,512m,256m,POSIX,foss_2023,Max Write: 4104.41 MiB/sec (4303.79 MB/sec),write
gpu_h100,8,8,1g,2m,POSIX,foss_2023,Max Read: 11349.33 MiB/sec (11900.64 MB/sec),read
gpu_h100,8,8,1g,2m,POSIX,foss_2023,Max Write: 3451.50 MiB/sec (3619.16 MB/sec),write
gpu_h100,8,8,1g,4m,POSIX,foss_2023,Max Read: 15384.59 MiB/sec (16131.91 MB/sec),read
gpu_h100,8,8,1g,4m,POSIX,foss_2023,Max Write: 7341.04 MiB/sec (7697.64 MB/sec),write
gpu_h100,8,8,1g,8m,POSIX,foss_2023,Max Read: 9923.71 MiB/sec (10405.77 MB/sec),read
gpu_h100,8,8,1g,8m,POSIX,foss_2023,Max Write: 3357.85 MiB/sec (3520.96 MB/sec),write
gpu_h100,8,8,1g,16m,POSIX,foss_2023,Max Read: 13057.22 MiB/sec (13691.48 MB/sec),read
gpu_h100,8,8,1g,16m,POSIX,foss_2023,Max Write: 5796.52 MiB/sec (6078.09 MB/sec),write
gpu_h100,8,8,1g,256m,POSIX,foss_2023,Max Read: 7883.79 MiB/sec (8266.75 MB/sec),read
gpu_h100,8,8,1g,256m,POSIX,foss_2023,Max Write: 5826.95 MiB/sec (6110.00 MB/sec),write
gpu_h100,8,8,2g,2m,POSIX,foss_2023,Max Read: 5802.82 MiB/sec (6084.70 MB/sec),read
gpu_h100,8,8,2g,2m,POSIX,foss_2023,Max Write: 4261.65 MiB/sec (4468.66 MB/sec),write
gpu_h100,8,8,2g,4m,POSIX,foss_2023,Max Read: 4428.34 MiB/sec (4643.45 MB/sec),read
gpu_h100,8,8,2g,4m,POSIX,foss_2023,Max Write: 4612.04 MiB/sec (4836.07 MB/sec),write
gpu_h100,8,8,2g,8m,POSIX,foss_2023,Max Read: 7154.45 MiB/sec (7501.98 MB/sec),read
gpu_h100,8,8,2g,8m,POSIX,foss_2023,Max Write: 5705.92 MiB/sec (5983.09 MB/sec),write
gpu_h100,8,8,2g,16m,POSIX,foss_2023,Max Read: 5966.90 MiB/sec (6256.74 MB/sec),read
gpu_h100,8,8,2g,16m,POSIX,foss_2023,Max Write: 6656.33 MiB/sec (6979.67 MB/sec),write
gpu_h100,8,8,2g,256m,POSIX,foss_2023,Max Read: 7002.57 MiB/sec (7342.73 MB/sec),read
gpu_h100,8,8,2g,256m,POSIX,foss_2023,Max Write: 6614.54 MiB/sec (6935.84 MB/sec),write
gpu_h100,8,8,4g,2m,POSIX,foss_2023,Max Read: 5449.44 MiB/sec (5714.15 MB/sec),read
gpu_h100,8,8,4g,2m,POSIX,foss_2023,Max Write: 4164.92 MiB/sec (4367.24 MB/sec),write
gpu_h100,8,8,4g,4m,POSIX,foss_2023,Max Read: 8227.15 MiB/sec (8626.79 MB/sec),read
gpu_h100,8,8,4g,4m,POSIX,foss_2023,Max Write: 7039.98 MiB/sec (7381.95 MB/sec),write
gpu_h100,8,8,4g,8m,POSIX,foss_2023,Max Read: 5559.39 MiB/sec (5829.44 MB/sec),read
gpu_h100,8,8,4g,8m,POSIX,foss_2023,Max Write: 3418.53 MiB/sec (3584.58 MB/sec),write
gpu_h100,8,8,4g,16m,POSIX,foss_2023,Max Read: 6860.25 MiB/sec (7193.49 MB/sec),read
gpu_h100,8,8,4g,16m,POSIX,foss_2023,Max Write: 5683.99 MiB/sec (5960.10 MB/sec),write
gpu_h100,8,8,4g,256m,POSIX,foss_2023,Max Read: 7848.19 MiB/sec (8229.42 MB/sec),read
gpu_h100,8,8,4g,256m,POSIX,foss_2023,Max Write: 4712.63 MiB/sec (4941.55 MB/sec),write
gpu_h100,8,8,8g,2m,POSIX,foss_2023,Max Read: 5248.20 MiB/sec (5503.13 MB/sec),read
gpu_h100,8,8,8g,2m,POSIX,foss_2023,Max Write: 3620.77 MiB/sec (3796.65 MB/sec),write
gpu_h100,8,8,8g,4m,POSIX,foss_2023,Max Read: 5861.78 MiB/sec (6146.52 MB/sec),read
gpu_h100,8,8,8g,4m,POSIX,foss_2023,Max Write: 4071.41 MiB/sec (4269.18 MB/sec),write
gpu_h100,8,8,8g,8m,POSIX,foss_2023,Max Read: 6388.79 MiB/sec (6699.13 MB/sec),read
gpu_h100,8,8,8g,8m,POSIX,foss_2023,Max Write: 4167.26 MiB/sec (4369.69 MB/sec),write
gpu_h100,8,8,8g,16m,POSIX,foss_2023,Max Read: 5712.35 MiB/sec (5989.83 MB/sec),read
gpu_h100,8,8,8g,16m,POSIX,foss_2023,Max Write: 4114.41 MiB/sec (4314.27 MB/sec),write
gpu_h100,8,8,8g,256m,POSIX,foss_2023,Max Read: 6534.82 MiB/sec (6852.25 MB/sec),read
gpu_h100,8,8,8g,256m,POSIX,foss_2023,Max Write: 4872.31 MiB/sec (5108.98 MB/sec),write
gpu_h100,8,8,16g,2m,POSIX,foss_2023,Max Read: 6862.02 MiB/sec (7195.35 MB/sec),read
gpu_h100,8,8,16g,2m,POSIX,foss_2023,Max Write: 3371.23 MiB/sec (3534.99 MB/sec),write
gpu_h100,8,8,16g,4m,POSIX,foss_2023,Max Read: 5437.57 MiB/sec (5701.71 MB/sec),read
gpu_h100,8,8,16g,4m,POSIX,foss_2023,Max Write: 4672.38 MiB/sec (4899.35 MB/sec),write
gpu_h100,8,8,16g,8m,POSIX,foss_2023,Max Read: 5812.45 MiB/sec (6094.80 MB/sec),read
gpu_h100,8,8,16g,8m,POSIX,foss_2023,Max Write: 4410.76 MiB/sec (4625.02 MB/sec),write
gpu_h100,8,8,16g,16m,POSIX,foss_2023,Max Read: 7748.99 MiB/sec (8125.41 MB/sec),read
gpu_h100,8,8,16g,16m,POSIX,foss_2023,Max Write: 4812.11 MiB/sec (5045.87 MB/sec),write
