partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
fat_genoa,8,8,256m,2m,POSIX,foss_2023,Max Read: 50723.49 MiB/sec (53187.43 MB/sec),read
fat_genoa,8,8,256m,2m,POSIX,foss_2023,Max Write: 5529.06 MiB/sec (5797.64 MB/sec),write
fat_genoa,8,8,256m,4m,POSIX,foss_2023,Max Read: 52298.50 MiB/sec (54838.95 MB/sec),read
fat_genoa,8,8,256m,4m,POSIX,foss_2023,Max Write: 3761.63 MiB/sec (3944.35 MB/sec),write
fat_genoa,8,8,256m,8m,POSIX,foss_2023,Max Read: 52151.58 MiB/sec (54684.90 MB/sec),read
fat_genoa,8,8,256m,8m,POSIX,foss_2023,Max Write: 3077.77 MiB/sec (3227.28 MB/sec),write
fat_genoa,8,8,256m,16m,POSIX,foss_2023,Max Read: 42993.63 MiB/sec (45082.09 MB/sec),read
fat_genoa,8,8,256m,16m,POSIX,foss_2023,Max Write: 3806.11 MiB/sec (3990.99 MB/sec),write
fat_genoa,8,8,256m,256m,POSIX,foss_2023,Max Read: 33397.89 MiB/sec (35020.23 MB/sec),read
fat_genoa,8,8,256m,256m,POSIX,foss_2023,Max Write: 4895.19 MiB/sec (5132.98 MB/sec),write
fat_genoa,8,8,512m,2m,POSIX,foss_2023,Max Read: 39249.42 MiB/sec (41156.00 MB/sec),read
fat_genoa,8,8,512m,2m,POSIX,foss_2023,Max Write: 6160.25 MiB/sec (6459.49 MB/sec),write
fat_genoa,8,8,512m,4m,POSIX,foss_2023,Max Read: 35890.69 MiB/sec (37634.12 MB/sec),read
fat_genoa,8,8,512m,4m,POSIX,foss_2023,Max Write: 5318.80 MiB/sec (5577.16 MB/sec),write
fat_genoa,8,8,512m,8m,POSIX,foss_2023,Max Read: 39405.01 MiB/sec (41319.15 MB/sec),read
fat_genoa,8,8,512m,8m,POSIX,foss_2023,Max Write: 5590.08 MiB/sec (5861.62 MB/sec),write
fat_genoa,8,8,512m,16m,POSIX,foss_2023,Max Read: 26372.89 MiB/sec (27653.98 MB/sec),read
fat_genoa,8,8,512m,16m,POSIX,foss_2023,Max Write: 5264.28 MiB/sec (5520.00 MB/sec),write
fat_genoa,8,8,512m,256m,POSIX,foss_2023,Max Read: 28743.38 MiB/sec (30139.62 MB/sec),read
fat_genoa,8,8,512m,256m,POSIX,foss_2023,Max Write: 7543.06 MiB/sec (7909.47 MB/sec),write
fat_genoa,8,8,1g,2m,POSIX,foss_2023,Max Read: 16658.73 MiB/sec (17467.95 MB/sec),read
fat_genoa,8,8,1g,2m,POSIX,foss_2023,Max Write: 4749.68 MiB/sec (4980.40 MB/sec),write
fat_genoa,8,8,1g,4m,POSIX,foss_2023,Max Read: 16024.80 MiB/sec (16803.22 MB/sec),read
fat_genoa,8,8,1g,4m,POSIX,foss_2023,Max Write: 5758.25 MiB/sec (6037.96 MB/sec),write
fat_genoa,8,8,1g,8m,POSIX,foss_2023,Max Read: 7963.03 MiB/sec (8349.84 MB/sec),read
fat_genoa,8,8,1g,8m,POSIX,foss_2023,Max Write: 4614.91 MiB/sec (4839.08 MB/sec),write
fat_genoa,8,8,1g,16m,POSIX,foss_2023,Max Read: 10027.67 MiB/sec (10514.77 MB/sec),read
fat_genoa,8,8,1g,16m,POSIX,foss_2023,Max Write: 3518.83 MiB/sec (3689.76 MB/sec),write
fat_genoa,8,8,1g,256m,POSIX,foss_2023,Max Read: 7798.72 MiB/sec (8177.56 MB/sec),read
fat_genoa,8,8,1g,256m,POSIX,foss_2023,Max Write: 4559.78 MiB/sec (4781.27 MB/sec),write
