partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
fat_rome,8,8,256m,2m,POSIX,foss_2023,Max Read: 35422.92 MiB/sec (37143.63 MB/sec),read
fat_rome,8,8,256m,2m,POSIX,foss_2023,Max Write: 4544.33 MiB/sec (4765.08 MB/sec),write
fat_rome,8,8,256m,4m,POSIX,foss_2023,Max Read: 34904.64 MiB/sec (36600.16 MB/sec),read
fat_rome,8,8,256m,4m,POSIX,foss_2023,Max Write: 2958.31 MiB/sec (3102.01 MB/sec),write
fat_rome,8,8,256m,8m,POSIX,foss_2023,Max Read: 30280.52 MiB/sec (31751.42 MB/sec),read
fat_rome,8,8,256m,8m,POSIX,foss_2023,Max Write: 2531.81 MiB/sec (2654.80 MB/sec),write
fat_rome,8,8,256m,16m,POSIX,foss_2023,Max Read: 18226.91 MiB/sec (19112.30 MB/sec),read
fat_rome,8,8,256m,16m,POSIX,foss_2023,Max Write: 896.14 MiB/sec (939.67 MB/sec),write
fat_rome,8,8,256m,256m,POSIX,foss_2023,Max Read: 17348.14 MiB/sec (18190.84 MB/sec),read
fat_rome,8,8,256m,256m,POSIX,foss_2023,Max Write: 1588.95 MiB/sec (1666.13 MB/sec),write
fat_rome,8,8,512m,2m,POSIX,foss_2023,Max Read: 17192.28 MiB/sec (18027.41 MB/sec),read
fat_rome,8,8,512m,2m,POSIX,foss_2023,Max Write: 2071.32 MiB/sec (2171.94 MB/sec),write
fat_rome,8,8,512m,4m,POSIX,foss_2023,Max Read: 11829.50 MiB/sec (12404.13 MB/sec),read
fat_rome,8,8,512m,4m,POSIX,foss_2023,Max Write: 2063.77 MiB/sec (2164.02 MB/sec),write
fat_rome,8,8,512m,8m,POSIX,foss_2023,Max Read: 12386.81 MiB/sec (12988.51 MB/sec),read
fat_rome,8,8,512m,8m,POSIX,foss_2023,Max Write: 3906.36 MiB/sec (4096.12 MB/sec),write
fat_rome,8,8,512m,16m,POSIX,foss_2023,Max Read: 13881.98 MiB/sec (14556.31 MB/sec),read
fat_rome,8,8,512m,16m,POSIX,foss_2023,Max Write: 3858.42 MiB/sec (4045.84 MB/sec),write
fat_rome,8,8,512m,256m,POSIX,foss_2023,Max Read: 8432.43 MiB/sec (8842.04 MB/sec),read
fat_rome,8,8,512m,256m,POSIX,foss_2023,Max Write: 4079.42 MiB/sec (4277.58 MB/sec),write
fat_rome,8,8,1g,2m,POSIX,foss_2023,Max Read: 9255.09 MiB/sec (9704.67 MB/sec),read
fat_rome,8,8,1g,2m,POSIX,foss_2023,Max Write: 4313.57 MiB/sec (4523.11 MB/sec),write
fat_rome,8,8,1g,4m,POSIX,foss_2023,Max Read: 9497.45 MiB/sec (9958.80 MB/sec),read
fat_rome,8,8,1g,4m,POSIX,foss_2023,Max Write: 5025.25 MiB/sec (5269.36 MB/sec),write
fat_rome,8,8,1g,8m,POSIX,foss_2023,Max Read: 6793.81 MiB/sec (7123.83 MB/sec),read
fat_rome,8,8,1g,8m,POSIX,foss_2023,Max Write: 4877.17 MiB/sec (5114.08 MB/sec),write
fat_rome,8,8,1g,16m,POSIX,foss_2023,Max Read: 7743.82 MiB/sec (8119.99 MB/sec),read
fat_rome,8,8,1g,16m,POSIX,foss_2023,Max Write: 4157.89 MiB/sec (4359.87 MB/sec),write
fat_rome,8,8,1g,256m,POSIX,foss_2023,Max Read: 9636.80 MiB/sec (10104.92 MB/sec),read
fat_rome,8,8,1g,256m,POSIX,foss_2023,Max Write: 6871.05 MiB/sec (7204.82 MB/sec),write
fat_rome,8,8,2g,2m,POSIX,foss_2023,Max Read: 6058.16 MiB/sec (6352.44 MB/sec),read
fat_rome,8,8,2g,2m,POSIX,foss_2023,Max Write: 7421.98 MiB/sec (7782.51 MB/sec),write
fat_rome,8,8,2g,4m,POSIX,foss_2023,Max Read: 3635.16 MiB/sec (3811.74 MB/sec),read
fat_rome,8,8,2g,4m,POSIX,foss_2023,Max Write: 3671.16 MiB/sec (3849.49 MB/sec),write
fat_rome,8,8,2g,8m,POSIX,foss_2023,Max Read: 7425.69 MiB/sec (7786.40 MB/sec),read
fat_rome,8,8,2g,8m,POSIX,foss_2023,Max Write: 4131.67 MiB/sec (4332.37 MB/sec),write
fat_rome,8,8,2g,16m,POSIX,foss_2023,Max Read: 5528.72 MiB/sec (5797.29 MB/sec),read
fat_rome,8,8,2g,16m,POSIX,foss_2023,Max Write: 5228.59 MiB/sec (5482.57 MB/sec),write
fat_rome,8,8,2g,256m,POSIX,foss_2023,Max Read: 6930.96 MiB/sec (7267.64 MB/sec),read
fat_rome,8,8,2g,256m,POSIX,foss_2023,Max Write: 4043.84 MiB/sec (4240.27 MB/sec),write
fat_rome,8,8,4g,2m,POSIX,foss_2023,Max Read: 3553.37 MiB/sec (3725.98 MB/sec),read
fat_rome,8,8,4g,2m,POSIX,foss_2023,Max Write: 3309.71 MiB/sec (3470.48 MB/sec),write
fat_rome,8,8,4g,4m,POSIX,foss_2023,Max Read: 3811.27 MiB/sec (3996.40 MB/sec),read
fat_rome,8,8,4g,4m,POSIX,foss_2023,Max Write: 3017.79 MiB/sec (3164.38 MB/sec),write
fat_rome,8,8,4g,8m,POSIX,foss_2023,Max Read: 2826.61 MiB/sec (2963.92 MB/sec),read
fat_rome,8,8,4g,8m,POSIX,foss_2023,Max Write: 2868.82 MiB/sec (3008.17 MB/sec),write
fat_rome,8,8,4g,16m,POSIX,foss_2023,Max Read: 3706.08 MiB/sec (3886.10 MB/sec),read
fat_rome,8,8,4g,16m,POSIX,foss_2023,Max Write: 4074.18 MiB/sec (4272.09 MB/sec),write
fat_rome,8,8,4g,256m,POSIX,foss_2023,Max Read: 3618.39 MiB/sec (3794.16 MB/sec),read
fat_rome,8,8,4g,256m,POSIX,foss_2023,Max Write: 2957.47 MiB/sec (3101.14 MB/sec),write
fat_rome,8,8,8g,2m,POSIX,foss_2023,Max Read: 4428.49 MiB/sec (4643.61 MB/sec),read
